SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,SOURCE
MLS Listing,Townhouse,4995 Thunder Rd,Dallas,75244,295000,3,3.5,Silvertree Square Add,2150,3964,1973,180,137,,Active,NTREIS
MLS Listing,Condo/Co-op,6138 Bandera Ave Unit 6138C,Dallas,75225,295000,2,2,Villa Serena Condos,1736,,1958,22,170,634,Active,NTREIS
MLS Listing,Townhouse,7502 Woodthrush Dr #25,Dallas,75230,295000,2,2.5,Pagewood townhouses,1530,,1969,10,193,113,Active,NTREIS
MLS Listing,Single Family Residential,807 Napier Dr,Richardson,75081,295000,4,2,Richland Manor Rep,2026,9017,1978,15,146,,Active,NTREIS
MLS Listing,Single Family Residential,911 S Waverly Dr,Dallas,75208,295000,3,2,Sunset Hill Rev,1615,6970,1936,18,183,,Active,NTREIS
MLS Listing,Single Family Residential,7130 Hunnicut Cir,Dallas,75227,296000,3,2.5,Buckner Terrace,2455,15072,1970,1,121,,Active,NTREIS
MLS Listing,Single Family Residential,2923 W Colorado Blvd,Dallas,75211,297000,3,2,Stevens Park West,1542,8712,1959,180,193,,Active,NTREIS
MLS Listing,Single Family Residential,4729 Paradise Cv,Garland,75043,297000,4,3.5,Highport Estates,3157,7405,2004,15,94,28,Active,NTREIS
New Construction Home,Single Family Residential,7432 Palisades Dr,Rowlett,75088,297091,3,2.5,Bayside,1683,,2018,192,177,,Active,NewHomeSource.com
MLS Listing,Condo/Co-op,12680 Hillcrest Rd #4102,Dallas,75230,298000,3,2.5,Williamsburg Condo Ph 01,1490,,1983,25,200,477,Active,NTREIS
MLS Listing,Single Family Residential,4610 Cowan Ave,Dallas,75209,298000,3,1.5,Churchhill Downs,1428,8233,1944,169,209,,Active,NTREIS
MLS Listing,Single Family Residential,8706 Kingspoint Dr,Dallas,75238,298000,3,2,Barkley Square,1666,7275,1963,9,179,,Active,NTREIS
MLS Listing,Single Family Residential,9405 Barton Creek Dr,Rowlett,75089,298000,4,2.5,GRAHAM ESTATES-REPLAT,2824,7536,1991,51,106,,Active,NTREIS
MLS Listing,Single Family Residential,3534 Peterborough Mews,Dallas,75236,298340,3,2,Capella Park,1768,11021,2019,22,169,63,Active,NTREIS
New Construction Plan,Single Family Residential,Sunnyvale,Wylie,75098,298990,3,2,Grayhawk Park,2156,,,,139,,Active,NewHomeSource.com
MLS Listing,Single Family Residential,11343 Rupley Ln,Dallas,75218,298999,3,2,Lochwood Rev,1296,7710,1958,148,231,,Active,NTREIS
MLS Listing,Condo/Co-op,1001 Belleview St #403,Dallas,75215,299000,2,2,Beat At The South Side Station,1127,41077,2007,124,265,404,Active,NTREIS
MLS Listing,Townhouse,2016 Azure Pointe,Richardson,75080,299000,2,2,Lake Park Estates 01 & Univ Wrld R,1626,1133,2006,155,184,236,Active,NTREIS
MLS Listing,Vacant Land,2016 Kessler Pkwy,Dallas,75208,299000,0,,Buford Sub - Kessler Park,,12240,,190,,,Active,NTREIS
MLS Listing,Condo/Co-op,2323 N Houston St #408,Dallas,75219,299000,1,1,Terrace Condos,775,39727,2005,67,386,437,Active,NTREIS
MLS Listing,Single Family Residential,2337 Chart Dr,Dallas,75228,299000,3,2.5,Hillridge Sec 02,1682,11761,1962,44,178,,Active,NTREIS
MLS Listing,Condo/Co-op,3030 Mckinney Ave #905,Dallas,75204,299000,1,1,La Tour Condo,996,65601,1981,162,300,724,Active,NTREIS
MLS Listing,Single Family Residential,3714 Davila Dr,Dallas,75220,299000,3,1,Ridgecrest Village Add,1148,7362,1950,22,260,,Active,NTREIS
MLS Listing,Condo/Co-op,3906 Buena Vista St #14,Dallas,75204,299000,2,2.5,Buena Vista Condos 3910,1367,42079,1983,37,219,188,Active,NTREIS
